PubId,PubName,PubGroupId,PubGroupName
3083,msnrem entertainment he ad,335,MSN Banners
2727,msnrem foxsport,335,MSN Banners
3133,msnrem foxsports edu,335,MSN Banners
3134,msnrem hotmail edu,335,MSN Banners
2725,msnrem hotmail2,335,MSN Banners
3173,msnrem maps he,335,MSN Banners
3098,msnrem msnbcnews he,335,MSN Banners
2734,msnrem mymsn,335,MSN Banners
2726,msnrem sport nba,335,MSN Banners
3267,msnrem weather edu,335,MSN Banners
2732,msnrem yellowpages,335,MSN Banners
2412,multicategory test auto ad,476,NexTag Banners
2826,myspace mort ad,472,Myspace Banners
3059,netscape ISP special offers,125,AOL Banners
2808,netscape fin mantle mort ad,125,AOL Banners
2753,netscape mort banner ad,125,AOL Banners
3251,netscape mort banner edu ad,125,AOL Banners
2932,newsmax mort,127,Unclassified Banner Pubs
2788,newsweek mort,127,Unclassified Banner Pubs
2336,nextag autos educ ad,460,HouseAds Banners
2343,nextag clothing mort ad,231,HouseAds
2999,nextag edu monitor,476,NexTag Banners
2346,nextag homegarden mort ad,231,HouseAds
2350,nextag sports mort,231,HouseAds
2342,nextag travel educ ad,460,HouseAds Banners
2332,nextag_media educ ad,460,HouseAds Banners
2607,ny post mort ad,477,NY Post Banners
2834,on exit pop phone,127,Unclassified Banner Pubs
3139,powerone edu,486,Powerone Banners
3026,powerone mortgage,486,Powerone Banners
2948,premiere1 mortgage,487,Premiere Banners
2704,real media 247 mort,9,247 Real Media Banners
2663,realtor.com,127,Unclassified Banner Pubs
3002,revenueNet mort ad,495,RevenueNet Banners
3149,rushlimbaugh he,127,Unclassified Banner Pubs
2905,rushlimbaugh mort,127,Unclassified Banner Pubs
3151,salem he ad,498,Salem Banners
3010,salem mort ad,498,Salem Banners
3015,salem textlink mort ad,498,Salem Banners
1896,specific mort ad,502,specificmedia Banners
2271,specific pop finance2,502,specificmedia Banners
2138,specpop finance mort ad,502,specificmedia Banners
2283,specpop finance_3,502,specificmedia Banners
2633,switchboard home equity ad,127,Unclassified Banner Pubs
3178,tacoda mort,127,Unclassified Banner Pubs
2769,tickle mort ad,505,Tickle Banners
2484,travelnow mort,127,Unclassified Banner Pubs
3270,tribalfusion expand mort ad,510,Tribal Fusion Banners
2809,tribune baltimore,511,Tribune Banners
2813,tribune chicago,511,Tribune Banners
2814,tribune la times,511,Tribune Banners
3249,undertone RON edu,514,Undertone Banners
2986,undertone RON mort ad,514,Undertone Banners
2658,valueclick banners,516,Valueclick Banners
2660,washington post,520,Washington Post Banners
2661,washington post real,520,Washington Post Banners
3252,weather desktop edu ad,522,Weather.com Banners
3141,weatherbug edu,523,Weatherbug Banners
2795,webshots mort,525,Webshots Banners
2939,whenu calibex mortgage,527,Whenu Banners
